"Program"	"Microb"	"Phyto"	"Zoo"	"allFish"	"TBM"	"BentInv"	"Macroalg"	"Seagrass"	"Mangrove"	"Coral"
"SONA"	NA	NA	1	1	NA	NA	NA	NA	NA	NA
"SOT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SOTS"	1	1	1	NA	NA	NA	NA	NA	NA	NA
"SPOT/MO/DOB"	1	1	1	NA	NA	NA	NA	NA	NA	NA
"TABS"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TOE"	1	1	1	1	NA	NA	NA	NA	NA	NA
"UcapeTown"	NA	NA	NA	NA	NA	1	1	1	NA	NA
"USAMLR"	1	1	1	1	1	1	NA	NA	NA	1
"VAS&VBS"	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
"VELMU"	NA	NA	NA	NA	NA	1	1	1	NA	NA
"WCO"	1	1	1	NA	NA	NA	NA	NA	NA	NA
"WHITESea"	NA	NA	1	NA	NA	1	1	1	NA	NA
"WPOS"	1	1	1	NA	NA	1	NA	NA	NA	NA
"ZATA"	1	1	1	1	1	1	NA	NA	NA	NA
"ZEN"	1	NA	NA	NA	NA	1	1	1	NA	NA
